time,tool,metric,measure
2018-10-23,Deployment time (mins),mins,30
2018-11-08,Deployment time (mins),mins,32
2018-09-25,Deployment time (mins),mins,31
2018-12-27,Deployment time (mins),mins,26
2018-10-27,Deployment time (mins),mins,32
2018-10-30,Deployment time (mins),mins,30
2018-09-28,Deployment time (mins),mins,30
2019-01-16,Deployment time (mins),mins,27
2018-10-15,Deployment time (mins),mins,30
2019-01-10,Deployment time (mins),mins,29
2019-01-01,Deployment time (mins),mins,25
2019-01-15,Deployment time (mins),mins,33
2018-10-02,Deployment time (mins),mins,38
2018-09-29,Deployment time (mins),mins,36
2018-11-25,Deployment time (mins),mins,30
2018-10-07,Deployment time (mins),mins,40
2018-10-16,Deployment time (mins),mins,33
2018-11-22,Deployment time (mins),mins,28
2018-12-29,Deployment time (mins),mins,32
2018-10-02,Deployment time (mins),mins,33
2019-02-18,Deployment time (mins),mins,5
2019-02-16,Deployment time (mins),mins,5
2019-01-22,Deployment time (mins),mins,5
2019-01-21,Deployment time (mins),mins,6
2019-02-06,Deployment time (mins),mins,5
2019-03-14,Deployment time (mins),mins,5
2019-02-01,Deployment time (mins),mins,5
2019-02-20,Deployment time (mins),mins,6
2019-03-10,Deployment time (mins),mins,6
2019-01-22,Deployment time (mins),mins,6
2019-03-04,Deployment time (mins),mins,6
2019-02-17,Deployment time (mins),mins,5
2019-03-17,Deployment time (mins),mins,6
2019-03-14,Deployment time (mins),mins,5
2019-02-28,Deployment time (mins),mins,6
2019-01-30,Deployment time (mins),mins,5
2019-01-22,Deployment time (mins),mins,6
2019-03-09,Deployment time (mins),mins,5
2019-02-07,Deployment time (mins),mins,5
2019-01-28,Deployment time (mins),mins,6
2019-01-19,Down time (mins),mins,26
2019-02-27,Down time (mins),mins,20
2019-03-03,Down time (mins),mins,26
2019-02-02,Down time (mins),mins,19
2019-02-24,Down time (mins),mins,20
2019-02-25,Down time (mins),mins,19
2019-02-17,Down time (mins),mins,19
2019-03-02,Down time (mins),mins,15
2019-01-31,Down time (mins),mins,14
2019-02-27,Down time (mins),mins,21
2019-03-17,Down time (mins),mins,21
2019-01-19,Down time (mins),mins,24
2019-02-25,Down time (mins),mins,28
2019-03-10,Down time (mins),mins,20
2019-02-08,Down time (mins),mins,18
2019-03-19,Down time (mins),mins,19
2019-02-09,Down time (mins),mins,20
2019-01-31,Down time (mins),mins,17
2019-02-12,Down time (mins),mins,30
2019-01-20,Down time (mins),mins,23
