id,created,milestone_created,closed,assignee,state,labels,milestone,milestone_due
42,2019-03-25T09:18:53.803Z,2019-03-14T03:00:44.466Z,,30,opened,,108, 
41,2019-03-19T15:40:45.553Z,2019-03-14T03:00:44.466Z,2019-03-21T07:33:33.487Z,30,closed,,108, 
40,2019-03-19T10:47:57.099Z,2019-03-14T03:00:44.466Z,2019-03-19T15:02:32.408Z,30,closed,,108, 
39,2019-03-18T03:49:04.198Z,2019-03-14T03:00:44.466Z,2019-03-19T08:40:05.865Z,30,closed,,108, 
38,2019-03-17T13:23:11.918Z,2019-03-14T03:00:44.466Z,2019-03-18T08:29:37.807Z,30,closed,,108, 
37,2019-03-15T09:36:16.658Z,2019-03-14T03:00:44.466Z,2019-03-15T09:41:13.769Z,null,closed,,108, 
36,2019-03-15T09:24:38.249Z,2019-03-14T03:00:44.466Z,,39,opened,,108, 
35,2019-03-15T08:30:55.217Z,2019-03-14T03:00:44.466Z,2019-03-15T08:43:42.696Z,null,closed,,108, 
34,2019-03-15T07:40:49.759Z,2019-03-14T03:00:44.466Z,2019-03-15T07:59:19.937Z,3,closed,,108, 
33,2019-03-14T09:25:13.456Z,2019-03-14T03:00:44.466Z,2019-03-14T09:44:32.802Z,null,closed,,108, 
32,2019-03-14T07:02:34.075Z,2019-03-14T03:00:44.466Z,2019-03-14T07:28:02.780Z,30,closed,,108, 
31,2019-03-14T05:54:57.410Z,2019-03-14T03:00:44.466Z,2019-03-14T05:57:24.721Z,30,closed,,108, 
30,2019-03-14T03:12:57.311Z,2019-03-14T03:00:44.466Z,2019-03-14T03:59:05.051Z,null,closed,,108, 
29,2019-03-14T03:01:52.145Z,2019-03-14T03:00:44.466Z,2019-03-14T03:09:54.475Z,30,closed,,108, 
28,2019-03-11T07:34:06.904Z,,2019-03-11T07:39:02.699Z,null,closed,,null, 
27,2019-03-11T06:45:42.157Z,,2019-03-11T07:29:10.921Z,null,closed,,null, 
26,2019-02-12T13:41:39.945Z,2019-02-08T06:37:26.254Z,2019-02-16T00:50:04.613Z,30,closed,,102,2019-02-28 
25,2019-02-11T16:48:24.343Z,2019-02-08T06:37:26.254Z,,38,opened,,102,2019-02-28 
24,2019-02-11T16:44:02.736Z,2019-02-08T06:37:26.254Z,,38,opened,,102,2019-02-28 
23,2019-02-11T16:40:27.309Z,2019-02-08T06:37:26.254Z,2019-02-16T00:50:04.735Z,30,closed,,102,2019-02-28 
22,2019-02-11T16:29:36.985Z,2019-02-08T06:37:26.254Z,2019-03-11T06:47:23.412Z,30,closed,,102,2019-02-28 
21,2019-02-08T06:38:44.080Z,2019-02-08T06:37:26.254Z,2019-03-19T15:37:26.650Z,38,closed,,102,2019-02-28 
20,2019-02-08T06:38:32.586Z,2019-02-08T06:37:26.254Z,2019-02-16T00:48:49.234Z,30,closed,,102,2019-02-28 
19,2019-02-08T06:37:59.910Z,2019-02-08T06:37:26.254Z,2019-02-16T00:48:30.906Z,30,closed,,102,2019-02-28 
18,2019-01-23T03:25:09.512Z,2019-01-08T13:44:37.482Z,,null,opened,,86, 
17,2019-01-14T06:55:37.877Z,2019-01-08T13:44:37.482Z,,null,opened,,86, 
16,2019-01-14T05:54:15.767Z,2019-01-08T13:42:59.751Z,2019-01-14T10:05:55.046Z,30,closed,,85,2019-01-27 
15,2019-01-14T05:50:57.493Z,2019-01-08T13:42:59.751Z,2019-01-14T10:06:14.540Z,30,closed,,85,2019-01-27 
14,2019-01-09T03:53:48.847Z,2019-01-08T13:42:59.751Z,2019-01-14T10:06:46.676Z,30,closed,,85,2019-01-27 
13,2019-01-09T00:52:51.951Z,2019-01-08T13:42:59.751Z,2019-01-14T10:06:26.995Z,30,closed,,85,2019-01-27 
12,2019-01-08T13:47:43.846Z,2019-01-08T13:42:59.751Z,2019-02-16T00:49:18.761Z,30,closed,,85,2019-01-27 
11,2019-01-08T13:38:16.704Z,2019-02-08T06:37:26.254Z,2019-03-19T15:37:28.671Z,38,closed,,102,2019-02-28 
10,2019-01-08T13:37:35.553Z,2019-01-08T13:42:59.751Z,2019-01-30T14:10:49.532Z,30,closed,,85,2019-01-27 
9,2019-01-08T13:37:02.245Z,2019-01-08T13:42:59.751Z,2019-02-16T00:49:03.439Z,30,closed,,85,2019-01-27 
8,2019-01-08T13:35:34.315Z,2019-01-08T13:44:37.482Z,,null,opened,,86, 
7,2019-01-08T13:35:27.266Z,2019-01-08T13:44:37.482Z,,null,opened,,86, 
6,2019-01-08T13:35:06.763Z,2019-01-08T13:42:59.751Z,2019-01-14T10:06:56.628Z,30,closed,,85,2019-01-27 
5,2019-01-08T13:34:38.295Z,2019-02-08T06:37:26.254Z,2019-03-13T09:10:56.032Z,30,closed,,102,2019-02-28 
4,2019-01-08T13:34:14.787Z,2019-01-08T13:42:59.751Z,2019-02-16T00:49:32.819Z,30,closed,,85,2019-01-27 
3,2019-01-08T13:33:53.709Z,2019-01-08T13:42:59.751Z,2019-01-30T14:12:02.094Z,30,closed,,85,2019-01-27 
2,2019-01-08T06:34:01.813Z,2019-01-08T13:42:59.751Z,2019-01-14T10:07:25.419Z,30,closed,,85,2019-01-27 
1,2019-01-08T06:33:11.998Z,2019-01-08T13:42:59.751Z,2019-01-14T10:06:56.370Z,30,closed,,85,2019-01-27 
