average_lead_times,average_process_times,closed_in_period,daily_burn_rate,days_in_period,issues_closed,lead_times,process_times,reference_date,running_closed,running_existing,running_open,total_issues,week
0.75,0.625,4,0.5714285714285714,7, 104 109 110 111, 0.50 1.00 1.00 0.50, 0.50 0.50 1.00 0.50,2018-10-21,4,10,3,100,2018W42
4.0,4.0,2,0.2857142857142857,7, 113 112, 4.00 4.00, 4.00 4.00,2018-10-28,6,14,3,100,2018W43
4.0,4.0,1,0.14285714285714285,7, 117, 4.00, 4.00,2018-11-04,7,18,3,100,2018W44
12.571428571428571,12.571428571428571,7,1.0,7, 120 119 115 114 108 105 125, 6.00 6.00 15.00 15.00 22.00 22.00 2.00, 6.00 6.00 15.00 15.00 22.00 22.00 2.00,2018-11-11,14,24,3,100,2018W45
3.25,3.25,2,0.2857142857142857,7, 126 128, 6.00 0.50, 6.00 0.50,2018-11-18,16,28,4,100,2018W46
11.75,11.75,4,0.5714285714285714,7, 131 130 127 116, 3.00 5.00 11.00 28.00, 3.00 5.00 11.00 28.00,2018-11-25,20,36,7,100,2018W47
12.333333333333334,12.333333333333334,3,0.42857142857142855,7, 136 132 121, 5.00 7.00 25.00, 5.00 7.00 25.00,2018-12-02,23,42,8,100,2018W48
12.0,12.0,3,0.42857142857142855,7, 142 141 145, 13.00 13.00 10.00, 13.00 13.00 10.00,2018-12-16,26,51,9,100,2018W50
16.272727272727273,16.272727272727273,11,1.5714285714285714,7, 153 133 146 147 150 143 152 122 154 137 135, 5.00 27.00 6.00 6.00 6.00 20.00 5.00 42.00 5.00 28.00 29.00, 5.00 27.00 6.00 6.00 6.00 20.00 5.00 42.00 5.00 28.00 29.00,2018-12-23,37,52,9,100,2018W51
0.0,0.0,0,0.0,7,,,,2019-01-13,37,59,10,100,2019W02
36.6,11.4,5,0.7142857142857143,7, 163 159 162 123 124, 7.00 13.00 9.00 77.00 77.00, 7.00 13.00 9.00 13.00 15.00,2019-01-27,42,61,10,100,2019W04
38.214285714285715,18.214285714285715,7,1.0,7, 144 148 160 157 118 156 166, 62.00 49.00 21.00 21.00 92.00 22.00 0.50, 21.00 21.00 21.00 21.00 21.00 22.00 0.50,2019-02-03,49,67,13,100,2019W05
7.0,7.0,1,0.14285714285714285,7, 170, 7.00, 7.00,2019-02-10,50,67,13,100,2019W06
0.5,0.5,3,0.42857142857142855,7, 171 172 177, 0.50 0.50 0.50, 0.50 0.50 0.50,2019-02-17,53,74,17,100,2019W07
5.5,5.5,3,0.42857142857142855,7, 175 181 179, 14.00 0.50 2.00, 14.00 0.50 2.00,2019-03-03,56,79,19,100,2019W09
26.4,13.6,5,0.7142857142857143,7, 161 183 167 164 186, 53.00 0.50 35.00 43.00 0.50, 21.00 0.50 23.00 23.00 0.50,2019-03-10,61,83,20,100,2019W10
12.0,12.0,2,0.2857142857142857,7, 185 178, 4.00 20.00, 4.00 20.00,2019-03-17,63,100,37,100,2019W11
